Wave Number,A_100 c,A_50 a,A_50 b,A_50 c,B_100 a,B_100 b,B_100 c,B_50 b,B_50 c,D_100 a,D_100 c,D_50 a,D_50 b,D_50 c,M_100 b,M_100 c,M_50 a,M_50 c,T2_100 a,T2_100 b,T2_100 c,T2_25 a,T2_25 b,T2_25 c,T2_50 b,T2_50 c,T2_75 b,T2_75 c,T_100 a,T_100 b,T_100 c,T_25 a,T_25 b,T_25 c,T_50 a,T_50 b,T_50 c,T_75 a,T_75 b,T_75 c,V1_0 a,V1_0 b,V2_0 d,V2_0 e,V2_0 f,V_0 a,V_0 b,V_0 c
2565.094,5.696661,3.625998,3.876965,4.440385,6.674561,4.588099,6.19076,3.110872,3.541668,9.429041,8.676959,4.747366,5.11347,6.292623,10.27319,11.8,7.465027,7.122159,5.883541,6.481561,6.429201,3.348129,3.04664,2.100173,3.740516,3.932738,4.084461,5.275686,6.77,6.84,6.17,2.36,2.82,3.44,3.03,3.99,3.18,4.42,4.47,4.83,2.499803,1.272396,2.069444,2.829393,2.736289,1.92,2.28,2.47
2566.058,5.719387,3.713214,4.055197,4.472342,6.717432,4.739079,6.305903,3.096329,3.594468,9.50443,8.825368,4.761765,5.150403,6.419347,10.29599,12,7.458961,7.113958,6.003834,6.610401,6.409818,3.371593,3.114537,2.135036,3.769663,4.067264,4.15842,5.376495,6.75,6.85,6.29,2.4,2.74,3.42,2.99,4.05,3.36,4.36,4.48,4.77,2.544646,1.179306,2.12895,2.87646,2.625735,2.04,2.31,2.42
2567.022,5.758627,3.854744,4.20787,4.484601,6.745918,4.941352,6.39221,3.103099,3.69242,9.589499,8.941059,4.836409,5.159112,6.548478,10.34717,12,7.452814,7.117061,6.160317,6.720758,6.341126,3.396031,3.198805,2.171219,3.806501,4.187349,4.303515,5.516652,6.68,6.82,6.4,2.43,2.65,3.34,2.95,4.09,3.57,4.3,4.5,4.73,2.622984,1.097786,2.183153,2.920602,2.541247,2.14,2.36,2.41
2567.987,5.808362,4.033233,4.311203,4.477505,6.755896,5.172658,6.433903,3.139782,3.827173,9.665214,9.016806,4.965889,5.160979,6.684009,10.42504,12.1,7.455665,7.153238,6.334173,6.807723,6.23667,3.419473,3.298791,2.205827,3.855711,4.281024,4.512706,5.679236,6.56,6.77,6.46,2.47,2.58,3.23,2.95,4.14,3.79,4.25,4.54,4.71,2.718428,1.037326,2.226381,2.962616,2.509632,2.19,2.44,2.44
2568.951,5.866065,4.224185,4.351761,4.458003,6.742323,5.398009,6.426048,3.20589,3.98703,9.719108,9.05331,5.129178,5.175284,6.824667,10.5207,12.1,7.47136,7.235243,6.503318,6.873837,6.113015,3.441703,3.40784,2.240638,3.920976,4.339296,4.765212,5.846039,6.43,6.7,6.49,2.5,2.54,3.12,2.99,4.18,3.98,4.24,4.57,4.73,2.808491,0.9999272,2.263069,3.004201,2.546446,2.2,2.52,2.51
2569.915,5.93014,4.40066,4.328476,4.438088,6.699852,5.580629,6.376297,3.291838,4.156717,9.747354,9.058461,5.297557,5.211834,6.962763,10.6222,12,7.496659,7.359031,6.644396,6.92625,5.985909,3.463455,3.515633,2.280933,4.005237,4.357953,5.028663,5.999863,6.32,6.65,6.5,2.52,2.52,3.03,3.09,4.23,4.12,4.29,4.6,4.78,2.873685,0.9818339,2.302542,3.043808,2.652569,2.16,2.61,2.63
2570.879,5.996482,4.538409,4.25172,4.430566,6.62549,5.694421,6.303188,3.383552,4.318426,9.753358,9.045712,5.445747,5.268303,7.085311,10.71965,12,7.523262,7.50358,6.736149,6.972973,5.868342,3.485127,3.611815,2.332456,4.111076,4.338076,5.265568,6.126935,6.24,6.63,6.5,2.53,2.52,2.96,3.23,4.27,4.18,4.38,4.6,4.85,2.904027,0.9776606,2.350449,3.075492,2.813312,2.09,2.68,2.78
2571.844,6.057416,4.620418,4.140296,4.444021,6.522667,5.73315,6.231041,3.469632,4.454544,9.743668,9.031706,5.560061,5.333315,7.177182,10.80907,11.9,7.542437,7.637519,6.764349,7.019888,5.770834,3.505372,3.6888,2.398041,4.239445,4.285459,5.44224,6.218939,6.2,6.64,6.51,2.52,2.53,2.92,3.41,4.29,4.14,4.49,4.58,4.92,2.900722,0.9850737,2.405609,3.092276,3.00114,2,2.71,2.95
2572.808,6.104445,4.639967,4.01801,4.479441,6.404815,5.712864,6.182602,3.54734,4.550862,9.723707,9.032642,5.640402,5.393666,7.2254,10.8937,11.8,7.549667,7.729312,6.726925,7.069653,5.702565,3.520845,3.742981,2.476063,4.387213,4.209862,5.537194,6.27407,6.17,6.7,6.57,2.52,2.56,2.9,3.58,4.29,4,4.6,4.55,4.98,2.873421,1.006263,2.463414,3.090978,3.182332,1.91,2.71,3.11
2573.772,6.132956,4.601665,3.910396,4.530319,6.296024,5.666213,6.171563,3.624047,4.59885,9.696092,9.059649,5.696743,5.441905,7.222829,10.98172,11.6,7.546964,7.757505,6.636744,7.122442,5.671615,3.528224,3.774453,2.561249,4.546492,4.124252,5.54628,6.296815,6.15,6.79,6.66,2.52,2.58,2.89,3.73,4.25,3.8,4.67,4.51,4.99,2.835018,1.044109,2.519207,3.074451,3.325493,1.83,2.65,3.24
2574.736,6.145077,4.520491,3.840991,4.586253,6.22716,5.630437,6.197295,3.712873,4.596435,9.662601,9.114605,5.742494,5.480058,7.169359,11.08088,11.5,7.541999,7.717949,6.52001,7.177661,5.683673,3.527787,3.785655,2.646638,4.707155,4.043194,5.483027,6.296323,6.12,6.89,6.79,2.54,2.62,2.88,3.84,4.19,3.57,4.7,4.48,4.97,2.796593,1.09674,2.567803,3.04983,3.409037,1.79,2.55,3.33
