Wave Number,A_100 c,A_50 a,A_50 b,A_50 c,B_100 a,B_100 b,B_100 c,B_50 b,B_50 c,D_100 a,D_100 c,D_50 a,D_50 b,D_50 c,M_100 b,M_100 c,M_50 a,M_50 c,T2_100 a,T2_100 b,T2_100 c,T2_25 a,T2_25 b,T2_25 c,T2_50 b,T2_50 c,T2_75 b,T2_75 c,T_100 a,T_100 b,T_100 c,T_25 a,T_25 b,T_25 c,T_50 a,T_50 b,T_50 c,T_75 a,T_75 b,T_75 c,V1_0 a,V1_0 b,V2_0 d,V2_0 e,V2_0 f,V_0 a,V_0 b,V_0 c
128.4758,76.83367,62.44962,58.49065,67.22707,106.5747,79.60534,99.52608,73.52809,74.15701,98.74668,86.9759,69.40148,74.80666,68.46375,86.98736,86.6,75.10264,79.39824,97.15835,104.7994,91.47803,67.44435,64.33535,56.41229,78.18623,75.5536,76.50187,90.52651,95.8,104,98.7,54.8,58.9,58.3,66.7,64.7,59.8,80.2,80.3,82.6,52.99481,26.6604,50.91921,58.05882,58.4429,49.9,49,58.1
129.4401,74.94725,60.8501,56.94841,65.46923,104.1845,77.77368,97.24191,71.64086,72.11435,96.59845,85.1798,67.76846,72.98906,66.89405,85.23777,85,73.50223,77.63358,95.00579,102.391,89.3056,65.69215,62.62004,54.87069,76.19825,73.53615,74.62732,88.37654,93.7,102,96.5,53.5,57.4,56.7,65,63.1,58.3,78.4,78.5,80.6,51.57719,25.85518,49.43395,56.39816,56.69548,48.5,47.7,56.5
130.4043,73.14064,59.3572,55.54927,63.84832,101.8666,76.05711,95.06792,69.86754,70.1507,94.58648,83.48853,66.21306,71.23375,65.41522,83.6028,83.4,72.02779,75.94104,93.00726,100.1631,87.24782,64.00452,60.97805,53.39997,74.32832,71.62495,72.86092,86.3563,91.6,99.7,94.4,52.2,55.9,55.2,63.4,61.6,56.8,76.6,76.7,78.6,50.21684,25.17088,48.00723,54.81368,55.03617,47.2,46.4,54.9
131.3685,71.44009,57.97558,54.28926,62.3786,99.6422,74.44918,93.02724,68.22623,68.31427,92.75348,81.92297,64.74222,69.55248,64.03802,82.10426,81.9,70.67505,74.3259,91.17018,98.13696,85.33685,62.37825,59.42689,52.01441,72.57612,69.834,71.20673,84.48363,89.7,97.8,92.6,51,54.4,53.7,61.9,60.2,55.5,74.9,75.1,76.8,48.9226,24.61887,46.67095,53.31595,53.50484,46.1,45.2,53.4
132.3328,69.8449,56.6833,53.12613,61.03819,97.50809,72.91308,91.10121,66.70041,66.61445,91.09055,80.46448,63.33571,67.9273,62.74557,80.72941,80.5,69.40934,72.76485,89.45541,96.27026,83.56107,60.79551,57.95203,50.70239,70.91255,68.14363,69.63773,82.72311,87.9,96,90.9,49.8,53,52.3,60.5,58.8,54.2,73.3,73.4,75,47.67464,24.16466,45.41781,51.88824,52.09195,45,44.1,52
133.297,68.33069,55.44023,51.99474,59.77709,95.43729,71.39657,89.23865,65.24732,65.02232,89.54337,79.06287,61.95372,66.31924,61.50196,79.43549,79.1,68.17896,71.21565,87.79388,94.47392,81.87309,59.22926,56.51573,49.43421,69.29173,66.51091,68.10874,81.00221,86.1,94.3,89.2,48.6,51.6,50.9,59.1,57.5,53,71.7,71.8,73.4,46.43618,23.74263,44.20489,50.49545,50.74625,44,43,50.7
134.2612,66.86654,54.20705,50.83535,58.53929,93.39542,69.85777,87.38367,63.81997,63.49239,88.04247,77.6627,60.558,64.69258,60.2714,78.1696,77.7,66.9381,69.64154,86.11864,92.65397,80.21725,57.65665,55.07877,48.18033,67.67316,64.89361,66.58099,79.25089,84.4,92.6,87.6,47.2,50.2,49.5,57.8,56.1,51.8,70.1,70.1,71.7,45.17715,23.2866,42.97958,49.10555,49.40571,42.9,41.9,49.3
135.2255,65.43549,52.96423,49.62054,57.28669,91.36298,68.28816,85.50671,62.39052,61.99163,86.53941,76.23283,59.13483,63.04012,59.03719,76.89391,76.3,65.66706,68.03619,84.39617,90.75697,78.56089,56.0722,53.62329,46.92968,66.04253,63.27415,65.04437,77.44173,82.8,90.9,85.9,45.9,48.9,48.1,56.4,54.7,50.5,68.5,68.4,70.1,43.89595,22.75978,41.71214,47.71095,48.03379,41.8,40.7,48
136.1897,64.04563,51.72068,48.36667,56.01219,89.35121,66.71973,83.62148,60.9623,60.51796,85.02809,74.78254,57.70648,61.39387,57.80933,75.60255,74.9,64.37883,66.4343,82.64035,88.79488,76.9118,54.49302,52.16412,45.69755,64.41924,61.66978,63.52397,75.6071,81.1,89.2,84.1,44.5,47.5,46.7,55,53.3,49.2,66.9,66.7,68.5,42.62546,22.1681,40.41557,46.33675,46.64072,40.6,39.6,46.7
137.1539,62.72531,50.50741,47.12432,54.73602,87.40189,65.21174,81.77877,59.56475,59.09777,83.53981,73.35519,56.32406,59.8141,56.61705,74.32255,73.6,63.10867,64.90002,80.90308,86.83656,75.31287,52.95235,50.74295,44.51878,62.84677,60.12337,62.06681,73.82314,79.6,87.5,82.4,43.1,46.2,45.4,53.7,51.9,48,65.3,65.1,67,41.41903,21.5507,39.14117,45.03057,45.27798,39.4,38.5,45.4
138.1182,61.50512,49.36021,45.95298,53.48905,85.57099,63.82343,80.04066,58.23455,57.76473,82.11678,72.00344,55.04495,58.36201,55.49075,73.0988,72.4,61.89312,63.49895,79.24741,84.97153,73.81721,51.48479,49.40878,43.42978,61.37069,58.67988,60.7164,72.1701,78.1,85.9,80.8,41.9,45,44.1,52.4,50.6,46.7,63.8,63.6,65.6,40.32355,20.95419,37.9525,43.83873,44.00998,38.3,37.5,44.2
139.0824,60.39745,48.30093,44.89376,52.29365,83.90423,62.58651,78.44958,56.9944,56.53356,80.78077,70.76019,53.90617,57.07042,54.44403,71.97213,71.4,60.75047,62.26768,77.71819,83.26618,72.45877,50.11115,48.1954,42.44925,60.01564,57.36166,59.48936,70.69096,76.8,84.3,79.3,40.8,43.9,43,51.3,49.4,45.6,62.5,62.2,64.2,39.35432,20.40618,36.89249,42.78185,42.87923,37.3,36.5,43
140.0466,59.38552,47.32744,43.9538,51.15336,82.41673,61.49126,77.00874,55.84058,55.38532,79.51649,69.6217,52.90749,55.92876,53.46615,70.9618,70.5,59.67367,61.19753,76.32522,81.73536,71.23385,48.83089,47.10738,41.56755,58.77325,56.15604,58.3672,69.37148,75.6,82.8,78,39.8,42.9,42,50.2,48.3,44.6,61.2,61,63,38.48563,19.90281,35.96229,41.84319,41.88454,36.5,35.7,41.9
141.0109,58.42865,46.41695,43.10917,50.05649,81.08654,60.49307,75.6838,54.74602,54.27378,78.27939,68.55172,52.01267,54.89034,52.52892,70.06048,69.6,58.63876,60.24102,75.04616,80.34298,70.10381,47.62609,46.12077,40.75014,57.60656,55.02163,57.30765,68.15147,74.4,81.4,76.8,39,42,41.1,49.1,47.3,43.6,60.1,60,61.8,37.66221,19.41648,35.12316,40.97607,40.98383,35.7,34.9,40.9
141.9751,57.48106,45.53989,42.32258,48.99008,79.86412,59.53517,74.42342,53.67577,53.1498,77.02304,67.50348,51.16728,53.89747,51.60358,69.24242,68.8,57.62331,59.33697,73.84517,79.0284,69.01581,46.47379,45.19703,39.9527,56.46814,53.90965,56.26846,66.95981,73.3,80,75.7,38.2,41,40.3,48.1,46.4,42.7,59,59,60.7,36.82567,18.91804,34.31945,40.12658,40.1188,35,34.2,39.9
142.9393,56.51398,44.67565,41.56445,47.95428,78.69229,58.57545,73.18642,52.60599,51.98988,75.72942,66.44638,50.32357,52.91077,50.67772,68.4784,67.9,56.62304,58.44074,72.69497,77.74187,67.92953,45.35991,44.30165,39.13974,55.322,52.7887,55.22995,65.75227,72.1,78.7,74.5,37.4,40.1,39.5,47.1,45.4,41.8,58,58.1,59.7,35.94147,18.39919,33.50909,39.25917,39.24677,34.3,33.4,39
143.9036,55.52907,43.82148,40.82551,46.96755,77.52644,57.60374,71.95996,51.53544,50.81231,74.42355,65.3818,49.45908,51.92633,49.76236,67.74829,67,55.65647,57.54308,71.58946,76.46859,66.83508,44.28664,43.41758,38.29763,54.15825,51.65987,54.2035,64.53143,70.9,77.4,73.4,36.7,39.2,38.7,46,44.5,41,57,57.2,58.6,35.01284,17.8816,32.68424,38.37192,38.36144,33.5,32.8,38
144.8678,54.55602,42.99015,40.11487,46.0587,76.34594,56.64179,70.75983,50.4838,49.67103,73.16335,64.33961,48.58057,50.97224,48.88529,67.04451,66.1,54.75444,56.6683,70.54078,75.22893,65.75297,43.26968,42.54733,37.43644,52.99419,50.55479,53.22161,63.33828,69.6,76.2,72.3,36,38.4,37.9,45,43.6,40.2,56.1,56.4,57.6,34.07499,17.40698,31.87118,37.49343,37.49158,32.8,32.1,37.1
145.832,53.63599,42.19874,39.44639,45.24987,75.15334,55.72741,69.61366,49.47853,48.62986,72.00977,63.35817,47.71268,50.08713,48.07444,66.36613,65.2,53.94021,55.85351,69.56412,74.05727,64.71789,42.32712,41.70412,36.58113,51.86249,49.51823,52.31583,62.22271,68.4,75.1,71.2,35.3,37.5,37.2,44,42.7,39.5,55.1,55.5,56.6,33.17431,17.01398,31.11037,36.66402,36.67972,32.1,31.5,36.3
146.7963,52.79998,41.45611,38.82303,44.54053,73.96394,54.8923,68.53834,48.53828,47.73053,70.99423,62.45958,46.87917,49.29342,47.34082,65.70856,64.5,53.2118,55.12112,68.6609,72.97392,63.75635,41.46657,40.89863,35.75799,50.79383,48.58494,51.49549,61.21072,67.3,74,70.3,34.6,36.8,36.5,43.1,42,38.9,54.2,54.7,55.7,32.34437,16.71495,30.42896,35.91117,35.95373,31.4,31,35.6
147.7605,52.05337,40.75665,38.22898,43.90202,72.7932,54.14503,67.52489,47.66232,46.97141,70.10123,61.63528,46.08752,48.58043,46.6705,65.05632,63.9,52.53698,54.45989,67.81113,71.96768,62.87127,40.67744,40.1292,34.98327,49.80312,47.76278,50.73966,60.28794,66.3,73.1,69.5,34,36.1,35.8,42.3,41.3,38.3,53.4,54,54.8,31.59153,16.4861,29.82158,35.23243,35.30798,30.8,30.5,34.9
148.7247,51.37424,40.08358,37.6349,43.28658,71.64856,53.46746,66.54007,46.83159,46.30791,69.27657,60.85001,45.32542,47.90665,46.02997,64.38416,63.3,51.86466,53.82527,66.98014,70.9994,62.04132,39.93269,39.38118,34.25911,48.88567,47.02995,50.0066,59.40797,65.4,72.1,68.7,33.3,35.4,35.1,41.5,40.7,37.8,52.5,53.2,53.9,30.89672,16.27643,29.2504,34.59383,34.70402,30.3,30,34.2
149.689,50.72559,39.41958,37.01357,42.64689,70.52976,52.82478,65.54339,46.02042,45.67411,68.45636,60.06245,44.57028,47.21981,45.38227,63.66692,62.7,51.14802,53.15874,66.13576,70.02439,61.23459,39.19924,38.63514,33.57726,48.02394,46.34657,49.25564,58.51997,64.5,71.2,67.9,32.7,34.8,34.3,40.8,40.1,37.2,51.7,52.5,53.1,30.23109,16.03095,28.66457,33.94459,34.09005,29.7,29.4,33.5
150.6532,50.07484,38.75861,36.35746,41.95697,69.43616,52.18356,64.51101,45.21265,45.01453,67.60168,59.25124,43.80632,46.4843,44.70579,62.89352,62.1,50.36816,52.41685,65.26676,69.02031,60.42847,38.45248,37.8795,32.92766,47.20075,45.67406,48.46962,57.59945,63.7,70.2,67,32,34.1,33.6,40.2,39.5,36.7,50.8,51.7,52.3,29.57637,15.71647,28.02872,33.24074,33.42809,29.1,28.9,32.8
151.6174,49.41144,38.11306,35.68909,41.22485,68.37687,51.52913,63.45382,44.4142,44.31087,66.72098,58.43298,43.04016,45.70213,44.00726,62.0785,61.4,49.54771,51.5956,64.39278,68.00505,59.62514,37.68903,37.12114,32.30744,46.41237,44.9931,47.66692,56.66529,63,69.3,66.1,31.2,33.5,32.8,39.5,38.9,36.2,50,50.8,51.5,28.93939,15.33761,27.34596,32.46731,32.71514,28.5,28.2,32
152.5817,48.75551,37.51369,35.05922,40.49234,67.37877,50.87519,62.42147,43.65699,43.59199,65.86996,57.66355,42.30765,44.9182,43.32403,61.26633,60.8,48.74873,50.73948,63.56105,67.03553,58.85599,36.93342,36.38977,31.72718,45.67672,44.31312,46.89811,55.77535,62.3,68.4,65.2,30.5,32.9,32.1,38.8,38.2,35.6,49.2,50,50.8,28.35489,14.93734,26.66451,31.65054,31.9887,27.9,27.6,31.3
153.5459,48.15524,37.0037,34.53433,39.82365,66.4889,50.26348,61.49114,42.99317,42.92486,65.13085,57.02306,41.66907,44.20852,42.71587,60.52658,60.3,48.05682,49.93208,62.83322,66.18888,58.17431,36.23726,35.73477,31.21321,45.03428,43.67135,46.23087,55.0051,61.7,67.6,64.4,29.9,32.3,31.4,38.3,37.7,35.1,48.4,49.3,50.2,27.87705,14.58389,26.06583,30.85659,31.31586,27.4,27.1,30.7
154.5101,47.67543,36.6306,34.17972,39.28876,65.76971,49.75504,60.74708,42.48325,42.39233,64.58303,56.59204,41.19561,43.6579,42.25089,59.9416,60,47.55888,49.27346,62.26872,65.53716,57.64126,35.6712,35.21645,30.80583,44.54232,43.12342,45.73138,54.42197,61.2,67,63.8,29.4,31.9,30.9,37.8,37.2,34.7,47.8,48.7,49.6,27.56562,14.35211,25.64091,30.17835,30.77321,26.9,26.6,30.2
155.4744,47.3818,36.4388,34.04487,38.94824,65.28784,49.41663,60.25893,42.18202,42.06813,64.27914,56.42924,40.95212,43.33622,41.99054,59.58991,59.9,47.32239,48.8537,61.91219,65.12768,57.31118,35.31132,34.89405,30.55363,44.26369,42.72991,45.45044,54.06834,60.9,66.6,63.4,29.1,31.6,30.6,37.6,36.8,34.4,47.4,48.3,49.3,27.47241,14.30754,25.46511,29.71503,30.42733,26.7,26.4,30
156.4386,47.32447,36.46254,34.154,38.84231,65.09762,49.30516,60.06514,42.12511,41.99725,64.23465,56.55736,40.98112,43.28089,41.97665,59.52801,60.1,47.38087,48.73083,61.78668,64.97533,57.21977,35.22109,34.81218,30.50335,44.25124,42.54185,45.41668,53.95775,60.8,66.4,63.3,29.1,31.6,30.5,37.6,36.7,34.4,47.3,48.2,49.2,27.63085,14.49673,25.57959,29.54932,30.32193,26.7,26.4,30
157.4028,47.52252,36.71695,34.5002,38.98296,65.2216,49.45079,60.16307,42.31694,42.18441,64.42928,56.95754,41.29,43.48772,42.22031,59.77264,60.5,47.72558,48.91649,61.89009,65.06467,57.375,35.43081,34.98624,30.68478,44.52878,42.58638,45.63345,54.07928,61,66.5,63.4,29.4,31.9,30.6,37.8,36.8,34.6,47.4,48.4,49.4,28.04664,14.9405,25.98166,29.72492,30.47101,26.9,26.7,30.4
158.3671,47.94984,37.18464,35.03926,39.346,65.63154,49.83957,60.50398,42.71982,42.58893,64.81192,57.56848,41.84126,43.90805,42.69134,60.28588,61.2,48.30073,49.36866,62.19022,65.35332,57.74802,35.91802,35.38799,31.092,45.07117,42.85263,46.07342,54.39957,61.3,66.7,63.7,29.9,32.4,31.1,38.3,37.1,35,47.8,48.8,49.8,28.68641,15.62387,26.62079,30.22675,30.85291,27.4,27.2,30.9
159.3313,48.52473,37.80029,35.68314,39.86248,66.23564,50.39907,60.99189,43.24642,43.12282,65.30189,58.28706,42.54666,44.44888,43.30917,60.96719,61.8,49.00177,49.99,62.617,65.77062,58.26438,36.5947,35.93457,31.66578,45.78971,43.27999,46.66857,54.85606,61.8,67.1,64.1,30.6,33.1,31.7,38.9,37.6,35.5,48.3,49.4,50.4,29.46565,16.48149,27.39729,30.96745,31.4024,28.1,27.9,31.7
160.2955,49.10905,38.4423,36.29882,40.41471,66.8795,50.995,61.48775,43.76083,43.65358,65.78626,58.97189,43.26965,44.97676,43.94149,61.65862,62.5,49.68008,50.63375,63.05705,66.2123,58.80054,37.30866,36.48811,32.28636,46.53114,43.75433,47.30151,55.34552,62.4,67.5,64.6,31.3,33.8,32.3,39.5,38.1,36.1,48.9,50,51,30.24383,17.38814,28.16533,31.78824,32.005,28.9,28.6,32.4
161.2598,49.52482,38.94303,36.72194,40.84569,67.36693,51.44807,61.82454,44.09507,44.01711,66.12231,59.45648,43.84219,45.33071,44.41871,62.16842,62.9,50.16061,51.12188,63.36045,66.54041,59.19439,37.86541,36.87357,32.78643,47.09829,44.12006,47.81036,55.72145,62.8,67.8,64.9,31.8,34.3,32.9,39.9,38.4,36.5,49.3,50.4,51.4,30.83768,18.16853,28.74734,32.48158,32.50349,29.5,29.2,33
162.224,49.59121,39.12366,36.78957,40.98789,67.50098,51.57372,61.83695,44.08334,44.0463,66.15504,59.57708,44.09779,45.34972,44.56828,62.31226,63,50.27537,51.27834,63.36671,66.59955,59.27557,38.07067,36.91649,32.98776,47.29244,44.21146,48.01613,55.81438,62.9,67.8,65,32,34.5,33.2,40,38.5,36.5,49.4,50.5,51.4,31.05753,18.63255,28.96524,32.83704,32.7246,29.7,29.4,33.1
163.1882,49.17521,38.84612,36.38609,40.70711,67.1359,51.23531,61.40295,43.60762,43.61364,65.75358,59.21355,43.91434,44.91315,44.26223,61.96306,62.6,49.90735,50.97272,62.94806,66.25293,58.9117,37.78366,36.49256,32.7529,46.96815,43.89824,47.77031,55.47704,62.6,67.4,64.7,31.6,34.2,33,39.6,38.1,36.2,49,50.1,51,30.75967,18.62838,28.68559,32.699,32.52351,29.5,29.1,32.8
164.1525,48.23857,38.06273,35.486,39.94708,66.22314,50.39161,60.48493,42.63938,42.67543,64.85693,58.33065,43.25214,43.98193,43.46157,61.09258,61.7,49.03048,50.16179,62.05499,65.4289,58.05511,36.96322,35.57143,32.03321,46.08123,43.13019,47.00628,54.63962,61.8,66.5,63.9,30.8,33.3,32.3,38.7,37.3,35.3,48.1,49.2,50,29.89675,18.09454,27.86497,32.01672,31.83274,28.7,28.3,31.9
165.1167,46.86082,36.84182,34.17451,38.75571,64.83282,49.11839,59.15274,41.25921,41.29905,63.50943,57.00204,42.17157,42.623,42.238,59.78781,60.4,47.72801,48.91141,60.74395,64.15802,56.76963,35.68708,34.23606,30.89271,44.7103,41.96213,45.77193,53.3493,60.6,65.3,62.6,29.6,32,31.2,37.3,36,34,46.9,47.9,48.7,28.54499,17.08935,26.57652,30.86596,30.69489,27.4,27.1,30.5
166.0809,45.22517,35.3554,32.63322,37.27916,63.1398,47.59258,57.57433,39.64301,39.65715,61.8653,55.40207,40.8209,41.00239,40.76092,58.23228,58.9,46.17749,47.38659,59.17085,62.57983,55.22218,34.13369,32.66611,29.49508,43.03991,40.54549,44.22615,51.77085,59,63.7,61,28.2,30.4,29.8,35.7,34.5,32.5,45.4,46.3,47.1,26.89337,15.78244,25.00212,29.43088,29.26214,25.9,25.7,28.9
167.0452,43.5686,33.83076,31.09166,35.7221,61.37613,46.04255,55.97207,38.01568,37.98497,60.15357,53.76281,39.39617,39.34428,39.25062,56.65587,57.3,44.6039,45.80806,57.54852,60.90973,53.63772,32.53057,31.08854,28.05604,41.30875,39.08597,42.59617,50.14155,57.4,62.2,59.3,26.8,28.9,28.3,34.1,32.9,30.9,43.9,44.6,45.4,25.19441,14.40719,23.38684,27.94979,27.75703,24.2,24.2,27.2
168.0094,42.1133,32.48314,29.76057,34.28767,59.76558,44.68228,54.5582,36.58791,36.51279,58.61175,52.3089,38.08637,37.8681,37.9138,55.26962,56,43.21607,44.389,56.0827,59.37474,52.23256,31.08801,29.71211,26.7784,39.74133,37.7814,41.11042,48.69561,55.9,60.9,57.8,25.6,27.5,26.9,32.7,31.6,29.6,42.5,43.2,44,23.69244,13.19015,21.96872,26.64368,26.40611,22.8,23,25.8
168.9736,41.00535,31.45471,28.77212,33.11954,58.46321,43.65289,53.4729,35.49861,35.3982,57.41298,51.19346,37.02324,36.72635,36.88534,54.20932,54.9,42.1499,43.27472,54.91157,58.14255,51.15112,29.94275,28.67011,25.79426,38.48865,36.76365,39.93221,47.5891,54.7,59.8,56.7,24.7,26.5,25.8,31.6,30.5,28.5,41.5,42,42.8,22.55601,12.28516,20.90951,25.6538,25.37119,21.7,22.1,24.7
169.9379,40.28322,30.78132,28.14957,32.2686,57.52142,42.99153,52.74866,34.78364,34.68452,56.61622,50.45927,36.25275,35.96651,36.19778,53.50777,54.2,41.43842,42.50786,54.07259,57.27367,50.43061,29.13125,27.99177,25.13613,37.59844,36.06666,39.11979,46.85693,54,59.1,55.9,24.1,25.9,25.1,30.9,29.8,27.9,40.8,41.2,42,21.83938,11.7376,20.25367,25.01029,24.70541,21,21.5,24
170.9021,39.88467,30.39731,27.81582,31.6953,56.89323,42.63627,52.31379,34.38006,34.30111,56.15981,50.03978,35.73703,35.53088,35.78839,53.10423,53.9,41.01817,42.03116,53.50821,56.71603,50.00619,28.59873,27.61029,24.74482,37.02232,35.63124,38.62619,46.41881,53.5,58.7,55.5,23.8,25.6,24.7,30.6,29.4,27.5,40.4,40.8,41.5,21.48519,11.48931,19.93061,24.64056,24.35126,20.6,21.1,23.6
171.8663,39.68569,30.17453,27.63509,31.30438,56.46869,42.46296,52.03285,34.16205,34.10359,55.90042,49.79862,35.38392,35.29285,35.53821,52.88445,53.7,40.76748,41.72465,53.10556,56.34291,49.75212,28.2369,27.40165,24.50776,36.65288,35.34179,38.33627,46.12897,53.3,58.4,55.3,23.6,25.4,24.4,30.4,29.2,27.3,40.1,40.5,41.1,21.36334,11.41786,19.79694,24.411,24.1792,20.4,20.9,23.4
172.8306,39.55361,29.97881,27.46988,30.99463,56.12732,42.33852,51.76609,33.99318,33.93637,55.67951,49.59043,35.09134,35.11346,35.3255,52.73239,53.6,40.55984,41.46111,52.75141,56.01543,49.53976,27.9341,27.23695,24.31022,36.37385,35.07821,38.12342,45.84607,53.1,58.1,55.2,23.5,25.3,24.2,30.2,29,27.2,39.9,40.2,40.8,21.32856,11.39336,19.6994,24.18436,24.04827,20.3,20.7,23.3
173.7948,39.39312,29.72019,27.2301,30.70132,55.78396,42.16852,51.42232,33.77343,33.69042,55.38762,49.3164,34.78721,34.89339,35.07081,52.57157,53.4,40.31016,41.15618,52.37769,55.64044,49.28662,27.61682,27.02696,24.07788,36.10241,34.76099,37.90037,45.4907,52.9,57.7,54.9,23.3,25.1,24,30.1,28.8,27,39.6,39.9,40.5,21.27242,11.32909,19.53227,23.8693,23.8615,20.2,20.4,23.2
174.759,39.16787,29.3765,26.89516,30.4132,55.40998,41.91988,50.98318,33.46322,33.33289,54.99836,48.95133,34.44859,34.59931,34.75585,52.38012,53.2,39.99553,40.79247,51.97879,55.19833,48.97639,27.26615,26.74183,23.79427,35.80743,34.37174,37.64261,45.06534,52.6,57.2,54.6,23,24.9,23.8,29.8,28.5,26.8,39.3,39.5,40.1,21.14909,11.20376,19.26626,23.4431,23.59242,20,20,22.9
175.7233,38.89245,28.98354,26.50258,30.15952,55.02445,41.61289,50.49126,33.07798,32.89935,54.56013,48.53356,34.09431,34.25645,34.41177,52.17734,52.9,39.64502,40.40974,51.59581,54.73132,48.64462,26.90577,26.4019,23.48894,35.49955,33.94325,37.37723,44.63068,52.3,56.6,54.2,22.6,24.6,23.5,29.5,28.2,26.5,38.9,39.1,39.8,20.96815,11.04818,18.93993,22.9417,23.27473,19.7,19.5,22.6
176.6875,38.60398,28.602,26.11313,29.97776,54.6647,41.29174,50.01272,32.66142,32.45739,54.15449,48.12793,33.75887,33.91652,34.08709,51.99315,52.6,39.30848,40.06969,51.27998,54.30294,48.34215,26.57231,26.04938,23.20657,35.20359,33.52777,37.14784,44.25542,51.9,56.1,53.8,22.2,24.4,23.2,29.1,27.9,26.2,38.6,38.7,39.5,20.76439,10.90841,18.62229,22.42735,22.96559,19.4,19.1,22.4
177.6517,38.33113,28.28057,25.77291,29.88141,54.35408,40.99216,49.59643,32.25434,32.06374,53.84578,47.78387,33.46386,33.62063,33.81418,51.83917,52.4,39.02298,39.8159,51.05667,53.95365,48.09795,26.2867,25.71823,22.97506,34.93105,33.16248,36.97732,43.96893,51.6,55.5,53.4,21.9,24.2,23,28.9,27.6,25.9,38.2,38.4,39.3,20.56474,10.80886,18.3688,21.95311,22.70502,19.2,18.7,22.1
178.616,38.07761,28.03384,25.49161,29.84508,54.08433,40.72318,49.25056,31.87497,31.73742,53.64843,47.51078,33.20266,33.37711,33.59149,51.69703,52.3,38.79401,39.64989,50.90899,53.67705,47.90136,26.04189,25.41756,22.78867,34.66837,32.84966,36.84888,43.74284,51.2,55.1,53.1,21.6,24,22.7,28.6,27.3,25.7,37.9,38.2,39.1,20.37078,10.73605,18.19304,21.54182,22.49356,19,18.4,21.8
179.5802,37.82629,27.84303,25.24562,29.81375,53.82002,40.46968,48.94613,31.51774,31.46022,53.52618,47.28082,32.94488,33.16329,33.38823,51.52861,52.1,38.59848,39.53381,50.78766,53.42804,47.71098,25.81061,25.13424,22.61282,34.38537,32.55991,36.71396,43.50942,50.9,54.7,52.8,21.3,23.8,22.5,28.4,27.1,25.5,37.7,38,38.9,20.16375,10.64975,18.06616,21.1868,22.29764,18.8,18.2,21.6
180.5444,37.55796,27.67507,25.00024,29.72913,53.52016,40.21009,48.64157,31.16706,31.19975,53.41911,47.05363,32.65588,32.94658,33.16607,51.30031,51.9,38.40382,39.41481,50.63876,53.15516,47.48245,25.56563,24.84933,22.40518,34.05633,32.25321,36.51995,43.20377,50.5,54.3,52.5,21,23.6,22.2,28.2,26.9,25.3,37.4,37.7,38.7,19.9249,10.51184,17.94029,20.86905,22.07592,18.6,18,21.3
181.5087,37.27057,27.50596,24.73557,29.55764,53.16304,39.93574,48.31214,30.81469,30.9384,53.2798,46.80572,32.31858,32.7098,32.90352,51.00609,51.6,38.18993,39.25573,50.4322,52.83605,47.19714,25.29873,24.55604,22.13957,33.67965,31.90399,36.24028,42.80404,50.2,53.9,52.2,20.8,23.3,21.9,27.9,26.6,25.1,37.1,37.5,38.4,19.65566,10.3137,17.77945,20.57773,21.80841,18.3,17.9,21
182.4729,36.9857,27.33438,24.46028,29.30438,52.75972,39.6592,47.9665,30.46932,30.68939,53.09712,46.54638,31.9446,32.46457,32.6089,50.67544,51.3,37.96017,39.05412,50.17448,52.49426,46.8744,25.02676,24.26736,21.81935,33.28329,31.516,35.88926,42.34609,49.9,53.6,51.8,20.6,23,21.5,27.6,26.4,24.8,36.8,37.2,38.1,19.38343,10.08526,17.5794,20.32036,21.51008,18,17.7,20.7
183.4371,36.73785,27.17836,24.20593,29.00641,52.34877,39.40651,47.64159,30.15262,30.49041,52.89504,46.31087,31.56857,32.24502,32.31526,50.36159,51,37.73576,38.84009,49.89962,52.1872,46.56078,24.78153,24.00873,21.47386,32.91277,31.11983,35.51397,41.90471,49.6,53.3,51.4,20.4,22.6,21.2,27.3,26.2,24.5,36.6,36.9,37.7,19.14848,9.880108,17.366,20.11683,21.22116,17.7,17.5,20.5
184.4014,36.55326,27.05883,24.00654,28.71024,51.97586,39.19917,47.37982,29.88524,30.37882,52.7098,46.13615,31.22965,32.0858,32.06154,50.11643,50.7,37.53856,38.65531,49.64515,51.97252,46.30298,24.58986,23.8008,21.14182,32.60846,30.75606,35.16887,41.55293,49.4,53,51.2,20.2,22.3,21,27,26,24.3,36.4,36.7,37.4,18.97954,9.745296,17.17477,19.98225,20.98082,17.5,17.3,20.3
185.3656,36.43151,26.98132,23.87648,28.44711,51.66995,39.03756,47.20272,29.67265,30.36388,52.56118,46.03444,30.95157,31.99847,31.87174,49.96605,50.5,37.37387,38.5265,49.42823,51.87265,46.12092,24.4558,23.64338,20.85217,32.38545,30.45474,34.88833,41.32325,49.2,52.8,51,20.1,22,20.8,26.8,25.9,24,36.2,36.4,37.2,18.87331,9.693401,17.02583,19.91048,20.80101,17.3,17.2,20.3
